Timestamp,Keypress,Color
15:34:21:819,0,EADFC0
15:34:24:323,A,EADFC0
15:34:24:324,A,EADFC0
15:34:24:325,A,EADFC0
15:34:24:325,A,EADFC0
15:34:25:355,S,FFA600
15:34:25:355,S,FFA600
15:34:25:357,S,FFA600
15:34:25:357,S,FFA600
15:34:26:427,A,EADFC0
15:34:26:427,A,EADFC0
15:34:26:428,A,EADFC0
15:34:26:428,A,EADFC0
15:34:27:187,A,EADFC0
15:34:27:188,A,EADFC0
15:34:27:189,A,EADFC0
15:34:27:189,A,EADFC0
15:34:27:464,S,FFA600
15:34:27:465,S,FFA600
15:34:27:466,S,FFA600
15:34:27:467,S,FFA600
15:34:28:518,D,FF2600
15:34:28:519,D,FF2600
15:34:28:519,D,FF2600
15:34:28:520,D,FF2600
15:34:28:956,S,FFA600
15:34:28:957,S,FFA600
15:34:28:957,S,FFA600
15:34:28:958,S,FFA600
15:34:29:220,A,EADFC0
15:34:29:221,A,EADFC0
15:34:29:221,A,EADFC0
15:34:29:221,A,EADFC0
15:34:29:461,S,FFA600
15:34:29:462,S,FFA600
15:34:29:462,S,FFA600
15:34:29:463,S,FFA600
15:34:39:459,0,FF2600
15:34:39:460,0,FF2600
15:34:39:461,0,FF2600
15:34:39:461,0,FF2600
