Timestamp,Keypress,State,Color
15:45:27:032,0,TOR ON - ALKS OFF,White
15:45:28:442,A,TOR ON - ALKS OFF,White
15:45:28:443,A,TOR ON - ALKS OFF,White
15:45:28:444,A,TOR ON - ALKS OFF,White
15:45:28:444,A,TOR ON - ALKS OFF,White
15:45:32:477,S,ALKS ON - non critical,Orange
15:45:32:477,S,ALKS ON - non critical,Orange
15:45:32:478,S,ALKS ON - non critical,Orange
15:45:32:479,S,ALKS ON - non critical,Orange
15:45:42:476,0,ALKS ON - critical,Red
15:45:42:477,0,ALKS ON - critical,Red
15:45:42:477,0,ALKS ON - critical,Red
15:45:42:478,0,ALKS ON - critical,Red
15:45:52:477,0,System Shut Down,Black
15:45:52:479,0,System Shut Down,Black
15:45:52:480,0,System Shut Down,Black
15:45:52:480,0,System Shut Down,Black
15:45:52:483,0,System Shut Down,Black
15:45:52:484,0,System Shut Down,Black
15:45:52:485,0,System Shut Down,Black
15:45:52:485,0,System Shut Down,Black
15:45:52:488,0,System Shut Down,Black
15:45:52:489,0,System Shut Down,Black
15:45:52:490,0,System Shut Down,Black
15:45:52:490,0,System Shut Down,Black
15:45:52:493,0,System Shut Down,Black
15:45:52:494,0,System Shut Down,Black
15:45:52:495,0,System Shut Down,Black
15:45:52:495,0,System Shut Down,Black
15:45:52:498,0,System Shut Down,Black
15:45:52:499,0,System Shut Down,Black
15:45:52:499,0,System Shut Down,Black
15:45:52:500,0,System Shut Down,Black
15:45:52:503,0,System Shut Down,Black
15:45:52:504,0,System Shut Down,Black
15:45:52:504,0,System Shut Down,Black
15:45:52:505,0,System Shut Down,Black
15:45:52:507,0,System Shut Down,Black
15:45:52:508,0,System Shut Down,Black
15:45:52:509,0,System Shut Down,Black
15:45:52:510,0,System Shut Down,Black
15:45:52:513,0,System Shut Down,Black
15:45:52:513,0,System Shut Down,Black
15:45:52:514,0,System Shut Down,Black
15:45:52:515,0,System Shut Down,Black
15:45:52:518,0,System Shut Down,Black
15:45:52:519,0,System Shut Down,Black
15:45:52:519,0,System Shut Down,Black
15:45:52:520,0,System Shut Down,Black
15:45:52:523,0,System Shut Down,Black
15:45:52:524,0,System Shut Down,Black
15:45:52:524,0,System Shut Down,Black
15:45:52:525,0,System Shut Down,Black
15:45:52:528,0,System Shut Down,Black
15:45:52:529,0,System Shut Down,Black
15:45:52:530,0,System Shut Down,Black
15:45:52:530,0,System Shut Down,Black
15:45:52:533,0,System Shut Down,Black
15:45:52:534,0,System Shut Down,Black
15:45:52:534,0,System Shut Down,Black
15:45:52:535,0,System Shut Down,Black
15:45:52:537,0,System Shut Down,Black
15:45:52:538,0,System Shut Down,Black
15:45:52:539,0,System Shut Down,Black
15:45:52:539,0,System Shut Down,Black
15:45:52:542,0,System Shut Down,Black
15:45:52:543,0,System Shut Down,Black
15:45:52:543,0,System Shut Down,Black
15:45:52:544,0,System Shut Down,Black
15:45:52:548,0,System Shut Down,Black
15:45:52:548,0,System Shut Down,Black
15:45:52:549,0,System Shut Down,Black
15:45:52:549,0,System Shut Down,Black
15:45:52:552,0,System Shut Down,Black
15:45:52:553,0,System Shut Down,Black
15:45:52:553,0,System Shut Down,Black
15:45:52:554,0,System Shut Down,Black
15:45:52:557,0,System Shut Down,Black
15:45:52:557,0,System Shut Down,Black
15:45:52:558,0,System Shut Down,Black
15:45:52:558,0,System Shut Down,Black
15:45:52:561,0,System Shut Down,Black
15:45:52:562,0,System Shut Down,Black
15:45:52:563,0,System Shut Down,Black
15:45:52:563,0,System Shut Down,Black
15:45:52:566,0,System Shut Down,Black
15:45:52:567,0,System Shut Down,Black
15:45:52:567,0,System Shut Down,Black
15:45:52:568,0,System Shut Down,Black
15:45:52:570,0,System Shut Down,Black
15:45:52:571,0,System Shut Down,Black
15:45:52:572,0,System Shut Down,Black
15:45:52:572,0,System Shut Down,Black
15:45:52:575,0,System Shut Down,Black
15:45:52:576,0,System Shut Down,Black
15:45:52:576,0,System Shut Down,Black
15:45:52:577,0,System Shut Down,Black
15:45:52:580,0,System Shut Down,Black
15:45:52:581,0,System Shut Down,Black
15:45:52:581,0,System Shut Down,Black
15:45:52:582,0,System Shut Down,Black
15:45:52:584,0,System Shut Down,Black
15:45:52:585,0,System Shut Down,Black
15:45:52:585,0,System Shut Down,Black
15:45:52:586,0,System Shut Down,Black
15:45:52:589,0,System Shut Down,Black
15:45:52:590,0,System Shut Down,Black
15:45:52:590,0,System Shut Down,Black
